Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
4 bedroom terraced duplex for rent,"Meadow Hall Road, Ikate, Lekki, Lagos","₦2,600,000per month",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3043015-4-bedroom-downtown-house-fully-furnished
1 bedroom flat / apartment for rent,"Lekki Gardens, Horizon 1, 235 Kusenla Road, Ikate, Lekki, Lagos","₦400,000per month",1,1,1,1 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/2994426-fully-furnished-3-bedroom-apartment-shared-apartment
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3059811-4-bedroom-terrace-duplex
3 bedroom terraced duplex for rent,"By White Sand School, Ikate, Lekki, Lagos","₦12,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/2775271-a-luxury-fully-serviced-3-bedroom-terrace-duplex
4 bedroom semi-detached duplex for rent,"By Whitesand School, Ikate, Lekki, Lagos","₦13,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/2970470-a-spacious-4-bedroom-semi-detached-duplex-in-a-fully-serviced-estate
5 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦16,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/2864588-newly-built-5-bedroom-semi-detached-duplex-with-bq
5 bedroom semi-detached duplex for rent,"Whitesand School, Ikate, Lekki, Lagos","₦18,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/2802158-a-luxury-finished-4-bedroom-semi-detached-duplex-in-a-fully-serviced-e
5 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦20,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3308988-furnished-5-bedroom-semi-detached-house-with-bq
1 bedroom mini flat (room and parlour) for rent,"Ikate, Lekki, Lagos","₦6,000,000per annum",1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikate/2741850-spacious-mini-flat
4 bedroom detached duplex for rent,"Off Kunsela Street, Ikate, Lekki, Lagos","₦15,000,000per annum",4,4,4,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate/2914077-4-bedroom-detached-duplex
3 bedroom house for rent,"Ikate, Lekki, Lagos","₦9,000,000per annum",3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikate/2940427-a-luxury-3-bedroom-apartment
