,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
2895,Fully Furnished 4 Bedroom Semi Detached Duplex,"Okun Ajah, Ajah, Lagos","₦ 110,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/3302771-fully-furnished-4-bedroom-semi-detached-duplex
2896,5 Units Of 5 Bedroom Detached Duplex,"Metro Estate, Ajah, Lagos","₦ 120,000,000",5 Bedrooms,4 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2842049-5-units-of-5-bedroom-detached-duplex
2897,Luxury 5 Bedroom Detached Duplex,"Royal Garden Estate, Ajah, Lagos","₦ 550,000,000",5 Bedrooms,2 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2808025-luxury-5-bedroom-detached-duplex
2898,Luxury 5 Bedroom Semi Detached Duplex With Pent House,"Royal Garden Estate, Ajah, Lagos","₦ 580,000,000",5 Bedrooms,2 Bathrooms,6 Toilets,5 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/2808035-luxury-5-bedroom-semi-detached-duplex-with-pent-house
2899,Luxury Smart 5-bedroom Detached Duplex,"Royal Garden Estate, Ajah, Lagos","₦ 650,000,000",5 Bedrooms,3 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2808062-luxury-smart-5-bedroom-detached-duplex
2900,Off Plan: 3 Bedroom Semi-detached Duplexes In A Secured Estate,"Abraham Adesanya, Ogombo, Ajah, Lagos","₦ 125,000,000",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/ogombo/2833727-off-plan-3-bedroom-semi-detached-duplexes-in-a-secured-estate
2901,Block Of 6 Units Of Flats,"Sangotedo, Ajah, Lagos","₦ 380,000,000",3 Bedrooms,3 Bathrooms,3 Toilets,3 bedroom flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/2832054-block-of-6-units-of-flats
2902,5 Bedroom Fully Detached Duplex Available,"Ajah, Lagos","₦ 250,000,000",5 Bedrooms,5 Bathrooms,5 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2717100-5-bedroom-fully-detached-duplex-available
2903,A Commercial Plaza,"By Mobil Road, Ajah, Lagos","₦ 400,000,000",5 Bathrooms,5 Toilets,15 Parking Spaces,Plaza / complex / mall for sale,https://nigeriapropertycentre.com/for-sale/commercial/plaza-complex-mall/lagos/ajah/2729672-a-commercial-plaza
2904,Luxury Four Bedroom Semi Detached Duplex,"Abraham Adesanya Axis, Ajah, Lagos","₦ 120,000,000",4 Bedrooms,3 Bathrooms,4 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/2819878-luxury-four-bedroom-semi-detached-duplex
